"","C1","H1","U1","M1","C2","H2","U2","M2","C3","H3","U3","M3"
"1",0,0,0,0,0,0,0,0,0,0,0,0
"2",0.00845297939472042,0.0050596600409286,0.00278259900534535,2.38876741984511e-05,0.00579290647711543,0.00350805060441431,0.00177895931338535,1.27017020297573e-05,0.00435237246265705,0.00266753398862345,0.00124108849008989,6.98391038422705e-06
"3",0.028523863788531,0.0163930232674575,0.00959680239544703,0.000181081266250191,0.0178417100834116,0.0103264358396499,0.00570537527502866,9.50627169584783e-05,0.0122049828104887,0.00712791229593432,0.00367140163834257,5.1605836502603e-05
"4",0.0598144267447587,0.0332704473134097,0.0198915008298054,0.000582048895706551,0.035576878167113,0.0198595249434598,0.0113595811912999,0.000302342706641429,0.0231312627256622,0.0129895872205491,0.00701821270627802,0.00016287984147952
"5",0.102186516216616,0.0551713868964023,0.0332631858939517,0.00131815637191482,0.0585568310696916,0.0316339154392011,0.0184089512690688,0.000677524902068235,0.0367823578912982,0.0199377631571425,0.0110634448888007,0.000362633985391224
"6",0.155727316101693,0.0817475623503787,0.0494292358194434,0.002466279518848,0.0864428530113186,0.0452738579828868,0.0265903795627666,0.00125389899212471,0.0528721769890051,0.0277194546797485,0.0156329729336762,0.000666981902468173
"7",0.22072314220572,0.112793912515399,0.0682067009861178,0.00409260488593253,0.118980221342777,0.060482756748589,0.0356970704011646,0.00205701637344779,0.0711658368574166,0.0361319461042585,0.0205883555856275,0.00108746027837705
"8",0.297639863870578,0.148225287008834,0.0894951088118313,0.00625587427954301,0.155980349804486,0.0770256673124488,0.0455660239104417,0.00310654634199581,0.091468899300741,0.0450120498452309,0.0258191374165229,0.00163208696586808
"9",0.387111974135849,0.188061334577159,0.113265136384774,0.00900970670725286,0.197310913620061,0.0947196107349316,0.0560710889907882,0.00441731216010149,0.113621102616678,0.054229859309925,0.0312383691995099,0.00230597521152346
"10",0.489932936511643,0.232411791529744,0.139547507026923,0.0124049661299306,0.242883448642905,0.113421408812034,0.0671142564165001,0.0060005826114801,0.137488799108873,0.063681210352381,0.0367772074086934,0.00311207242542731
